service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ETE20-ETE20LàS-Lun-Sam-00,1,1,1,1,1,1,0,20200825,20200829
ETE20-ETE20LàS-Lun-Sam-00-1111100,1,1,1,1,1,0,0,20200825,20200829
ETE20-DIM_ETE-Dimanche-00,0,0,0,0,0,0,1,20200830,20200830
HIV2021-H2021PVS-L-Ma-J-V-00,1,1,0,1,1,0,0,20200831,20200831
HIV2021-HIV_LMJV-L-Ma-J-V-01,1,1,0,1,1,0,0,20200901,20210702
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,1,1,0,1,1,0,0,20200901,20210702
HIV2021-HIV_MER-Mercredi-00,0,0,1,0,0,0,0,20200902,20210630
HIV2021-H2021SAM-Samedi-01,0,0,0,0,0,1,0,20200905,20210703
HIV2021-H2021DIM-Dimanche-00,0,0,0,0,0,0,1,20200906,20210704
HIV2021-H2021PVS-Semaine-00,1,1,1,1,1,0,0,20201019,20210514
HIV2021-H2021PVS-Semaine-00-0010000,0,0,1,0,0,0,0,20201019,20210514
