service_id,date,exception_type
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201019,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201019,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201020,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201020,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201022,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201022,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201023,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201023,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201026,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201026,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201027,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201027,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201029,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201029,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201030,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201030,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201221,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201221,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201222,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201222,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201224,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201224,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201225,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201225,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201228,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201228,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201229,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201229,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20201231,2
HIV2021-HIV_LMJV-L-Ma-J-V-01-1101100,20201231,2
HIV2021-HIV_LMJV-L-Ma-J-V-01,20210101,2
