agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
LE MET,1-100,1,"LIANE 1",,3,,B22E75,FFFFFF
LE MET,2-5,2,"LIANE 2",,3,,B22E75,FFFFFF
LE MET,3-82,3,"LIANE 3",,3,,B22E75,FFFFFF
LE MET,4-7,4,"LIANE 4",,3,,B22E75,FFFFFF
LE MET,5-118,5,"LIANE 5",,3,,B22E75,FFFFFF
LE MET,5-123,5,"LIANE 5",,3,,B22E75,FFFFFF
LE MET,11-9,11,"CITEIS 11",,3,,00A8BE,FFFFFF
LE MET,12-101,12,"CITEIS 12",,3,,00A8BE,FFFFFF
LE MET,13-11,13,"CITEIS 13",,3,,00A8BE,FFFFFF
LE MET,14-114,14,"CITEIS 14",,3,,00A8BE,FFFFFF
LE MET,15-85,15,"CITEIS 15",,3,,00A8BE,FFFFFF
LE MET,16-14,16,"CITEIS 16",,3,,00A8BE,FFFFFF
LE MET,17-15,17,"CITEIS 17",,3,,00A8BE,FFFFFF
LE MET,18-86,18,"NAVETTE 18",,3,,904E1A,FFFFFF
LE MET,18-102,18,"NAVETTE 18",,3,,904E1A,FFFFFF
LE MET,19-29,19,"NAVETTE 19",,3,,904E1A,FFFFFF
LE MET,82-109,82,"NAVETTE 82",,3,,904E1A,FFFFFF
LE MET,83-71,83,"NAVETTE 83",,3,,904E1A,FFFFFF
LE MET,84a-112,84a,"NAVETTE 84a",,3,,904E1A,FFFFFF
LE MET,84b-111,84b,"NAVETTE 84b",,3,,904E1A,FFFFFF
LE MET,86-96,86,"NAVETTE 86",,3,,904E1A,FFFFFF
LE MET,87-78,87,"NAVETTE 87",,3,,904E1A,FFFFFF
LE MET,88-79,88,"NAVETTE 88",,3,,904E1A,FFFFFF
LE MET,89-22,89,"NAVETTE 89",,3,,904E1A,FFFFFF
LE MET,90-113,90,"NAVETTE 90",,3,,904E1A,FFFFFF
LE MET,91-89,91,"NAVETTE 91",,3,,904E1A,FFFFFF
LE MET,101-90,101,"PROXIS 101",,3,,97BF0D,FFFFFF
LE MET,102-26,102,"PROXIS 102",,3,,97BF0D,FFFFFF
LE MET,103-84,103,"PROXIS 103",,3,,97BF0D,FFFFFF
LE MET,105-28,105,"PROXIS 105",,3,,97BF0D,FFFFFF
LE MET,106-87,106,"PROXIS 106",,3,,97BF0D,FFFFFF
LE MET,107-31,107,"PROXIS 107",,3,,97BF0D,FFFFFF
LE MET,108-32,108,"PROXIS 108",,3,,97BF0D,FFFFFF
