stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
57,,"8 MAI 45",,49.099805,6.138669,,http://lemet.fr/screen/index2.php?stop=57,0,,2
46,,"8 MAI 45",,49.099927,6.138371,,http://lemet.fr/screen/index2.php?stop=46,0,,2
450,,"11ème D'AVIATION",,49.085890,6.146239,,http://lemet.fr/screen/index2.php?stop=450,0,,2
852,,"11ème D'AVIATION",,49.086159,6.145297,,http://lemet.fr/screen/index2.php?stop=852,0,,2
928,,"19 NOVEMBRE",,49.091774,6.161323,,http://lemet.fr/screen/index2.php?stop=928,0,,2
929,,"19 NOVEMBRE",,49.092028,6.161481,,http://lemet.fr/screen/index2.php?stop=929,0,,2
519,,"DEUX FONTAINES",,49.148061,6.171578,,http://lemet.fr/screen/index2.php?stop=519,0,,2
451,,"DEUX FONTAINES",,49.148956,6.171576,,http://lemet.fr/screen/index2.php?stop=451,0,,2
530,,"TRENTE JOURS",,49.096271,6.245860,,http://lemet.fr/screen/index2.php?stop=530,0,,1
536,,"TRENTE JOURS",,49.096403,6.245779,,http://lemet.fr/screen/index2.php?stop=536,0,,1
179,,"TROIS EVECHES",,49.106303,6.191888,,http://lemet.fr/screen/index2.php?stop=179,0,,2
101,,"TROIS HAIES",,49.090659,6.123135,,http://lemet.fr/screen/index2.php?stop=101,0,,1
115,,"TROIS HAIES",,49.090713,6.122693,,http://lemet.fr/screen/index2.php?stop=115,0,,1
161,,"QUATRE BORNES",,49.139202,6.153451,,http://lemet.fr/screen/index2.php?stop=161,0,,1
157,,"QUATRE BORNES",,49.139403,6.153449,,http://lemet.fr/screen/index2.php?stop=157,0,,1
362,,"QUATRE VENTS",,49.094514,6.176234,,http://lemet.fr/screen/index2.php?stop=362,0,,1
310,,"QUATRE VENTS",,49.094382,6.175952,,http://lemet.fr/screen/index2.php?stop=310,0,,1
806,,"ABBE BAUZIN",,49.189290,6.035000,,http://lemet.fr/screen/index2.php?stop=806,0,,1
802,,"ABBE BAUZIN",,49.189344,6.036790,,http://lemet.fr/screen/index2.php?stop=802,0,,1
591,,"AUBEPINE",,49.071569,6.193588,,http://lemet.fr/screen/index2.php?stop=591,0,,1
588,,"ACACIAS",,49.073443,6.184514,,http://lemet.fr/screen/index2.php?stop=588,0,,2
307,,"ACACIAS",,49.073284,6.184477,,http://lemet.fr/screen/index2.php?stop=307,0,,2
706,,"ACTISUD DUNIL",,49.076518,6.102841,,http://lemet.fr/screen/index2.php?stop=706,0,,2
707,,"ACTISUD DUNIL",,49.076467,6.102942,,http://lemet.fr/screen/index2.php?stop=707,0,,2
6180,,"FELIX ALCAN",,49.112572,6.199158,,http://lemet.fr/screen/index2.php?stop=6180,0,,1
6185,,"FELIX ALCAN",,49.112733,6.197773,,http://lemet.fr/screen/index2.php?stop=6185,0,,1
81,,"ALGER",,49.094445,6.135356,,http://lemet.fr/screen/index2.php?stop=81,0,,1
71,,"ALGER",,49.094330,6.134834,,http://lemet.fr/screen/index2.php?stop=71,0,,1
55,,"ALSACE",,49.097637,6.129110,,http://lemet.fr/screen/index2.php?stop=55,0,,1
48,,"ALSACE",,49.097844,6.129581,,http://lemet.fr/screen/index2.php?stop=48,0,,1
388,,"ALSACE-LORRAINE",,49.121440,6.194683,,http://lemet.fr/screen/index2.php?stop=388,0,,1
368,,"ALSACE-LORRAINE",,49.121304,6.195390,,http://lemet.fr/screen/index2.php?stop=368,0,,1
720,,"AMANVILLERS MAIRIE",,49.167365,6.044078,,http://lemet.fr/screen/index2.php?stop=720,0,,1
735,,"AMANVILLERS MAIRIE",,49.167371,6.043769,,http://lemet.fr/screen/index2.php?stop=735,0,,1
680,,"AMPERE",,49.103321,6.228833,,http://lemet.fr/screen/index2.php?stop=680,0,,1
679,,"AMPERE",,49.103631,6.228814,,http://lemet.fr/screen/index2.php?stop=679,0,,1
249,,"APREMONT",,49.080330,6.187050,,http://lemet.fr/screen/index2.php?stop=249,0,,1
578,,"APREMONT",,49.080609,6.186506,,http://lemet.fr/screen/index2.php?stop=578,0,,1
6320,,"FRANCOIS ARAGO",,49.101866,6.224284,,http://lemet.fr/screen/index2.php?stop=6320,0,,1
6325,,"FRANCOIS ARAGO",,49.101866,6.224284,,http://lemet.fr/screen/index2.php?stop=6325,0,,1
2,,"FRANCOIS ARAGO",,49.100638,6.220992,,http://lemet.fr/screen/index2.php?stop=2,0,,2
35,,"FRANCOIS ARAGO",,49.100578,6.222063,,http://lemet.fr/screen/index2.php?stop=35,0,,2
576,,"FRANCOIS ARAGO",,49.101367,6.224181,,http://lemet.fr/screen/index2.php?stop=576,0,,2
577,,"FRANCOIS ARAGO",,49.101366,6.224181,,http://lemet.fr/screen/index2.php?stop=577,0,,2
767,,"ARBALETRIERS",,49.050773,6.187018,,http://lemet.fr/screen/index2.php?stop=767,0,,1
296,,"ARDECHE",,49.101048,6.106695,,http://lemet.fr/screen/index2.php?stop=296,0,,2
293,,"ARDECHE",,49.101426,6.106284,,http://lemet.fr/screen/index2.php?stop=293,0,,2
141,,"ARENES",,49.105977,6.173652,,http://lemet.fr/screen/index2.php?stop=141,0,,1
126,,"ARENES",,49.105932,6.173607,,http://lemet.fr/screen/index2.php?stop=126,0,,1
571,,"ARIANE",,49.095465,6.238675,,http://lemet.fr/screen/index2.php?stop=571,0,,1
568,,"ARIANE",,49.094854,6.238771,,http://lemet.fr/screen/index2.php?stop=568,0,,1
244,,"ARMOISIERES",,49.075620,6.189540,,http://lemet.fr/screen/index2.php?stop=244,0,,2
583,,"ARMOISIERES",,49.077294,6.189373,,http://lemet.fr/screen/index2.php?stop=583,0,,2
309,,"AUBEPINE",,49.072249,6.193072,,http://lemet.fr/screen/index2.php?stop=309,0,,1
499,,"ARSENAL",,49.122882,6.187083,,http://lemet.fr/screen/index2.php?stop=499,0,,2
476,,"ARSENAL",,49.122881,6.187075,,http://lemet.fr/screen/index2.php?stop=476,0,,2
454,,"ARS LAQUENEXY",,49.092781,6.270088,,http://lemet.fr/screen/index2.php?stop=454,0,,2
453,,"ARS LAQUENEXY",,49.092863,6.270358,,http://lemet.fr/screen/index2.php?stop=453,0,,2
826,,"ARS SUR MOSELLE",,49.075770,6.076469,,http://lemet.fr/screen/index2.php?stop=826,0,,2
822,,"ARS SUR MOSELLE",,49.075910,6.076660,,http://lemet.fr/screen/index2.php?stop=822,0,,2
390,,"ARTILLEURS",,49.120281,6.193512,,http://lemet.fr/screen/index2.php?stop=390,0,,1
366,,"ARTILLEURS",,49.120190,6.193145,,http://lemet.fr/screen/index2.php?stop=366,0,,1
725,,"ATELIERS MUNICIPAUX",,49.142480,6.121819,,http://lemet.fr/screen/index2.php?stop=725,0,,2
730,,"ATELIERS MUNICIPAUX",,49.142484,6.121813,,http://lemet.fr/screen/index2.php?stop=730,0,,2
429,,"AUBIGNY",,49.094182,6.269990,,http://lemet.fr/screen/index2.php?stop=429,0,,1
702,,"AUGNY MAIRIE",,49.058685,6.121884,,http://lemet.fr/screen/index2.php?stop=702,0,,1
711,,"AUGNY MAIRIE",,49.058673,6.121897,,http://lemet.fr/screen/index2.php?stop=711,0,,1
608,,"AULNES",,49.127244,6.207680,,http://lemet.fr/screen/index2.php?stop=608,0,,1
598,,"AULNES",,49.127299,6.207678,,http://lemet.fr/screen/index2.php?stop=598,0,,1
5020,,"AVENUE DE MAGNY",,49.064094,6.167042,,http://lemet.fr/screen/index2.php?stop=5020,0,,1
5023,,"AZALEES",,49.067314,6.168029,,http://lemet.fr/screen/index2.php?stop=5023,0,,1
488,,"BARBE",,49.129598,6.230058,,http://lemet.fr/screen/index2.php?stop=488,0,,1
487,,"BARBE",,49.129374,6.229538,,http://lemet.fr/screen/index2.php?stop=487,0,,1
408,,"BAUCHEZ",,49.136653,6.143134,,http://lemet.fr/screen/index2.php?stop=408,0,,1
401,,"BAUCHEZ",,49.136481,6.142772,,http://lemet.fr/screen/index2.php?stop=401,0,,1
761,,"BAZIN",,49.108830,6.087670,,http://lemet.fr/screen/index2.php?stop=761,0,,2
554,,"BEAUSOLEIL",,49.075849,6.187141,,http://lemet.fr/screen/index2.php?stop=554,0,,2
584,,"BEAUSOLEIL",,49.075712,6.186836,,http://lemet.fr/screen/index2.php?stop=584,0,,2
6200,,"BELLETANCHE",,49.110649,6.210641,,http://lemet.fr/screen/index2.php?stop=6200,0,,1
6205,,"BELLETANCHE",,49.110649,6.210640,,http://lemet.fr/screen/index2.php?stop=6205,0,,1
469,,"BELLE FONTAINE",,49.066876,6.142687,,http://lemet.fr/screen/index2.php?stop=469,0,,2
471,,"BELLE FONTAINE",,49.066950,6.142790,,http://lemet.fr/screen/index2.php?stop=471,0,,2
24,,"BELLETANCHE",,49.110186,6.209649,,http://lemet.fr/screen/index2.php?stop=24,0,,2
10,,"BELLETANCHE",,49.109866,6.208869,,http://lemet.fr/screen/index2.php?stop=10,0,,2
874,,"BELLEVUE",,49.172243,6.152899,,http://lemet.fr/screen/index2.php?stop=874,0,,2
6070,,"GEORGES BERNANOS",,49.133318,6.168920,,http://lemet.fr/screen/index2.php?stop=6070,0,,1
6075,,"GEORGES BERNANOS",,49.133318,6.168920,,http://lemet.fr/screen/index2.php?stop=6075,0,,1
892,,"BERLANGE",,49.155741,6.157121,,http://lemet.fr/screen/index2.php?stop=892,0,,2
893,,"BERLANGE",,49.156149,6.157198,,http://lemet.fr/screen/index2.php?stop=893,0,,2
166,,"GEORGES BERNANOS",,49.132944,6.167915,,http://lemet.fr/screen/index2.php?stop=166,0,,1
192,,"GEORGES BERNANOS",,49.132970,6.167800,,http://lemet.fr/screen/index2.php?stop=192,0,,1
472,,"BERNARD",,49.113890,6.212200,,http://lemet.fr/screen/index2.php?stop=472,0,,2
462,,"BERNARD",,49.114590,6.211458,,http://lemet.fr/screen/index2.php?stop=462,0,,2
