route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
3-82,ETE20-DIM_ETE-Dimanche-00,428663-ETE20-DIM_ETE-Dimanche-00,"L3c - WOIPPY PAR RUE DE NORROY",0,60721,30028
3-82,ETE20-DIM_ETE-Dimanche-00,428664-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60722,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428665-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60723,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428666-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60720,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428667-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60721,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428668-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60722,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428669-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60723,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428670-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60720,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428671-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60721,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428672-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60722,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428673-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60723,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428674-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60720,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428675-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60721,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428676-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60722,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428677-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60723,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428678-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60720,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428679-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60721,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428680-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60722,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428681-ETE20-DIM_ETE-Dimanche-00,"L3d - WOIPPY PAR RUE DE BRIEY",0,60723,30027
3-82,ETE20-DIM_ETE-Dimanche-00,428682-ETE20-DIM_ETE-Dimanche-00,"L3 - MONTIGNY ST-PRIVAT",1,60720,30023
3-82,ETE20-DIM_ETE-Dimanche-00,428683-ETE20-DIM_ETE-Dimanche-00,"L3 - MONTIGNY ST-PRIVAT",1,60721,30023
3-82,ETE20-DIM_ETE-Dimanche-00,428684-ETE20-DIM_ETE-Dimanche-00,"L3 - MONTIGNY ST-PRIVAT",1,60722,30023
